Age,Country,Country (group),Country Code,Gender,Measure1,OECD Member: T|F,Ref Area,Reference area,Sex,UPPER(Gender),Year,Year Int,Age | Years,Effective labour market exit age,Obs Value
65 years,Norway,Europe,NOR,Female,Life expectancy,OECD member,NOR,Norway,Female,FEMALE,01-01-1989,1989,18.8,,18.8
65 years,New Zealand,Other,NZL,Female,Life expectancy,OECD member,NZL,New Zealand,Female,FEMALE,01-01-1989,1989,18.1,,18.1
65 years,Poland,Europe,POL,Female,Life expectancy,OECD member,POL,Poland,Female,FEMALE,01-01-1989,1989,16.1,,16.1
65 years,Portugal,Europe,PRT,Female,Life expectancy,OECD member,PRT,Portugal,Female,FEMALE,01-01-1989,1989,17.6,,17.6
65 years,Slovak Republic,Europe,SVK,Female,Life expectancy,OECD member,SVK,Slovak Republic,Female,FEMALE,01-01-1989,1989,15.9,,15.9
65 years,Slovenia,Europe,SVN,Female,Life expectancy,OECD member,SVN,Slovenia,Female,FEMALE,01-01-1989,1989,17.2,,17.2
65 years,Sweden,Europe,SWE,Female,Life expectancy,OECD member,SWE,Sweden,Female,FEMALE,01-01-1989,1989,19.4,,19.4
65 years,Türkiye,Europe,TUR,Female,Life expectancy,OECD member,TUR,Türkiye,Female,FEMALE,01-01-1989,1989,13.9,,13.9
65 years,United States,Other,USA,Female,Life expectancy,OECD member,USA,United States,Female,FEMALE,01-01-1989,1989,18.8,,18.8
65 years,Australia,Other,AUS,Female,Life expectancy,OECD member,AUS,Australia,Female,FEMALE,01-01-1990,1990,19.0,,19.0
65 years,Austria,Europe,AUT,Female,Life expectancy,OECD member,AUT,Austria,Female,FEMALE,01-01-1990,1990,18.1,,18.1
65 years,Belgium,Europe,BEL,Female,Life expectancy,OECD member,BEL,Belgium,Female,FEMALE,01-01-1990,1990,18.8,,18.8
65 years,Canada,Other,CAN,Female,Life expectancy,OECD member,CAN,Canada,Female,FEMALE,01-01-1990,1990,19.8,,19.8
65 years,Switzerland,Europe,CHE,Female,Life expectancy,OECD member,CHE,Switzerland,Female,FEMALE,01-01-1990,1990,19.7,,19.7
65 years,Chile,Other,CHL,Female,Life expectancy,OECD member,CHL,Chile,Female,FEMALE,01-01-1990,1990,17.2,,17.2
65 years,Colombia,Other,COL,Female,Life expectancy,OECD member,COL,Colombia,Female,FEMALE,01-01-1990,1990,16.3,,16.3
65 years,Costa Rica,Other,CRI,Female,Life expectancy,OECD member,CRI,Costa Rica,Female,FEMALE,01-01-1990,1990,18.1,,18.1
65 years,Czechia,Europe,CZE,Female,Life expectancy,OECD member,CZE,Czechia,Female,FEMALE,01-01-1990,1990,15.3,,15.3
65 years,Germany,Europe,DEU,Female,Life expectancy,OECD member,DEU,Germany,Female,FEMALE,01-01-1990,1990,19.0,,19.0
65 years,Denmark,Europe,DNK,Female,Life expectancy,OECD member,DNK,Denmark,Female,FEMALE,01-01-1990,1990,17.9,,17.9
65 years,Spain,Europe,ESP,Female,Life expectancy,OECD member,ESP,Spain,Female,FEMALE,01-01-1990,1990,19.2,,19.2
65 years,Estonia,Europe,EST,Female,Life expectancy,OECD member,EST,Estonia,Female,FEMALE,01-01-1990,1990,15.8,,15.8
65 years,Finland,Europe,FIN,Female,Life expectancy,OECD member,FIN,Finland,Female,FEMALE,01-01-1990,1990,17.8,,17.8
65 years,France,Europe,FRA,Female,Life expectancy,OECD member,FRA,France,Female,FEMALE,01-01-1990,1990,20.2,,20.2
65 years,Greece,Europe,GRC,Female,Life expectancy,OECD member,GRC,Greece,Female,FEMALE,01-01-1990,1990,18.1,,18.1
65 years,Hungary,Europe,HUN,Female,Life expectancy,OECD member,HUN,Hungary,Female,FEMALE,01-01-1990,1990,15.4,,15.4
65 years,Ireland,Europe,IRL,Female,Life expectancy,OECD member,IRL,Ireland,Female,FEMALE,01-01-1990,1990,17.0,,17.0
65 years,Iceland,Europe,ISL,Female,Life expectancy,OECD member,ISL,Iceland,Female,FEMALE,01-01-1990,1990,19.8,,19.8
65 years,Israel,Europe,ISR,Female,Life expectancy,OECD member,ISR,Israel,Female,FEMALE,01-01-1990,1990,17.8,,17.8
65 years,Italy,Europe,ITA,Female,Life expectancy,OECD member,ITA,Italy,Female,FEMALE,01-01-1990,1990,18.9,,18.9
65 years,Japan,Other,JPN,Female,Life expectancy,OECD member,JPN,Japan,Female,FEMALE,01-01-1990,1990,20.0,,20.0
65 years,Korea,Other,KOR,Female,Life expectancy,OECD member,KOR,Korea,Female,FEMALE,01-01-1990,1990,16.7,,16.7
65 years,Lithuania,Europe,LTU,Female,Life expectancy,OECD member,LTU,Lithuania,Female,FEMALE,01-01-1990,1990,17.0,,17.0
65 years,Luxembourg,Europe,LUX,Female,Life expectancy,OECD member,LUX,Luxembourg,Female,FEMALE,01-01-1990,1990,18.5,,18.5
65 years,Mexico,Other,MEX,Female,Life expectancy,OECD member,MEX,Mexico,Female,FEMALE,01-01-1990,1990,18.0,,18.0
65 years,Netherlands,Europe,NLD,Female,Life expectancy,OECD member,NLD,Netherlands,Female,FEMALE,01-01-1990,1990,19.1,,19.1
65 years,Norway,Europe,NOR,Female,Life expectancy,OECD member,NOR,Norway,Female,FEMALE,01-01-1990,1990,18.7,,18.7
65 years,New Zealand,Other,NZL,Female,Life expectancy,OECD member,NZL,New Zealand,Female,FEMALE,01-01-1990,1990,18.3,,18.3
65 years,Poland,Europe,POL,Female,Life expectancy,OECD member,POL,Poland,Female,FEMALE,01-01-1990,1990,16.2,,16.2
65 years,Portugal,Europe,PRT,Female,Life expectancy,OECD member,PRT,Portugal,Female,FEMALE,01-01-1990,1990,17.1,,17.1
65 years,Slovak Republic,Europe,SVK,Female,Life expectancy,OECD member,SVK,Slovak Republic,Female,FEMALE,01-01-1990,1990,16.0,,16.0
65 years,Slovenia,Europe,SVN,Female,Life expectancy,OECD member,SVN,Slovenia,Female,FEMALE,01-01-1990,1990,17.1,,17.1
65 years,Sweden,Europe,SWE,Female,Life expectancy,OECD member,SWE,Sweden,Female,FEMALE,01-01-1990,1990,19.2,,19.2
65 years,United States,Other,USA,Female,Life expectancy,OECD member,USA,United States,Female,FEMALE,01-01-1990,1990,18.9,,18.9
65 years,Australia,Other,AUS,Female,Life expectancy,OECD member,AUS,Australia,Female,FEMALE,01-01-1991,1991,19.1,,19.1
65 years,Austria,Europe,AUT,Female,Life expectancy,OECD member,AUT,Austria,Female,FEMALE,01-01-1991,1991,18.1,,18.1
65 years,Belgium,Europe,BEL,Female,Life expectancy,OECD member,BEL,Belgium,Female,FEMALE,01-01-1991,1991,18.8,,18.8
65 years,Canada,Other,CAN,Female,Life expectancy,OECD member,CAN,Canada,Female,FEMALE,01-01-1991,1991,19.8,,19.8
65 years,Switzerland,Europe,CHE,Female,Life expectancy,OECD member,CHE,Switzerland,Female,FEMALE,01-01-1991,1991,20.1,,20.1
65 years,Chile,Other,CHL,Female,Life expectancy,OECD member,CHL,Chile,Female,FEMALE,01-01-1991,1991,17.4,,17.4
65 years,Colombia,Other,COL,Female,Life expectancy,OECD member,COL,Colombia,Female,FEMALE,01-01-1991,1991,16.4,,16.4
65 years,Costa Rica,Other,CRI,Female,Life expectancy,OECD member,CRI,Costa Rica,Female,FEMALE,01-01-1991,1991,18.2,,18.2
65 years,Czechia,Europe,CZE,Female,Life expectancy,OECD member,CZE,Czechia,Female,FEMALE,01-01-1991,1991,15.6,,15.6
65 years,Denmark,Europe,DNK,Female,Life expectancy,OECD member,DNK,Denmark,Female,FEMALE,01-01-1991,1991,18.1,,18.1
65 years,Spain,Europe,ESP,Female,Life expectancy,OECD member,ESP,Spain,Female,FEMALE,01-01-1991,1991,19.4,,19.4
65 years,Estonia,Europe,EST,Female,Life expectancy,OECD member,EST,Estonia,Female,FEMALE,01-01-1991,1991,16.0,,16.0
65 years,Finland,Europe,FIN,Female,Life expectancy,OECD member,FIN,Finland,Female,FEMALE,01-01-1991,1991,18.2,,18.2
65 years,France,Europe,FRA,Female,Life expectancy,OECD member,FRA,France,Female,FEMALE,01-01-1991,1991,20.4,,20.4
65 years,Greece,Europe,GRC,Female,Life expectancy,OECD member,GRC,Greece,Female,FEMALE,01-01-1991,1991,18.1,,18.1
65 years,Hungary,Europe,HUN,Female,Life expectancy,OECD member,HUN,Hungary,Female,FEMALE,01-01-1991,1991,15.6,,15.6
65 years,Ireland,Europe,IRL,Female,Life expectancy,OECD member,IRL,Ireland,Female,FEMALE,01-01-1991,1991,17.0,,17.0
65 years,Iceland,Europe,ISL,Female,Life expectancy,OECD member,ISL,Iceland,Female,FEMALE,01-01-1991,1991,19.9,,19.9
65 years,Israel,Europe,ISR,Female,Life expectancy,OECD member,ISR,Israel,Female,FEMALE,01-01-1991,1991,17.7,,17.7
65 years,Italy,Europe,ITA,Female,Life expectancy,OECD member,ITA,Italy,Female,FEMALE,01-01-1991,1991,19.1,,19.1
65 years,Japan,Other,JPN,Female,Life expectancy,OECD member,JPN,Japan,Female,FEMALE,01-01-1991,1991,20.2,,20.2
65 years,Korea,Other,KOR,Female,Life expectancy,OECD member,KOR,Korea,Female,FEMALE,01-01-1991,1991,17.0,,17.0
65 years,Lithuania,Europe,LTU,Female,Life expectancy,OECD member,LTU,Lithuania,Female,FEMALE,01-01-1991,1991,17.2,,17.2
65 years,Luxembourg,Europe,LUX,Female,Life expectancy,OECD member,LUX,Luxembourg,Female,FEMALE,01-01-1991,1991,18.9,,18.9
65 years,Mexico,Other,MEX,Female,Life expectancy,OECD member,MEX,Mexico,Female,FEMALE,01-01-1991,1991,17.8,,17.8
65 years,Netherlands,Europe,NLD,Female,Life expectancy,OECD member,NLD,Netherlands,Female,FEMALE,01-01-1991,1991,19.1,,19.1
65 years,Norway,Europe,NOR,Female,Life expectancy,OECD member,NOR,Norway,Female,FEMALE,01-01-1991,1991,19.0,,19.0
65 years,New Zealand,Other,NZL,Female,Life expectancy,OECD member,NZL,New Zealand,Female,FEMALE,01-01-1991,1991,18.5,,18.5
65 years,Poland,Europe,POL,Female,Life expectancy,OECD member,POL,Poland,Female,FEMALE,01-01-1991,1991,16.0,,16.0
65 years,Portugal,Europe,PRT,Female,Life expectancy,OECD member,PRT,Portugal,Female,FEMALE,01-01-1991,1991,17.3,,17.3
65 years,Slovak Republic,Europe,SVK,Female,Life expectancy,OECD member,SVK,Slovak Republic,Female,FEMALE,01-01-1991,1991,15.9,,15.9
65 years,Slovenia,Europe,SVN,Female,Life expectancy,OECD member,SVN,Slovenia,Female,FEMALE,01-01-1991,1991,16.9,,16.9
65 years,Sweden,Europe,SWE,Female,Life expectancy,OECD member,SWE,Sweden,Female,FEMALE,01-01-1991,1991,19.4,,19.4
65 years,Türkiye,Europe,TUR,Female,Life expectancy,OECD member,TUR,Türkiye,Female,FEMALE,01-01-1991,1991,14.3,,14.3
65 years,United States,Other,USA,Female,Life expectancy,OECD member,USA,United States,Female,FEMALE,01-01-1991,1991,19.1,,19.1
65 years,Australia,Other,AUS,Female,Life expectancy,OECD member,AUS,Australia,Female,FEMALE,01-01-1992,1992,19.2,,19.2
65 years,Austria,Europe,AUT,Female,Life expectancy,OECD member,AUT,Austria,Female,FEMALE,01-01-1992,1992,18.2,,18.2
65 years,Belgium,Europe,BEL,Female,Life expectancy,OECD member,BEL,Belgium,Female,FEMALE,01-01-1992,1992,19.0,,19.0
65 years,Canada,Other,CAN,Female,Life expectancy,OECD member,CAN,Canada,Female,FEMALE,01-01-1992,1992,20.0,,20.0
65 years,Switzerland,Europe,CHE,Female,Life expectancy,OECD member,CHE,Switzerland,Female,FEMALE,01-01-1992,1992,20.2,,20.2
65 years,Chile,Other,CHL,Female,Life expectancy,OECD member,CHL,Chile,Female,FEMALE,01-01-1992,1992,17.5,,17.5
65 years,Colombia,Other,COL,Female,Life expectancy,OECD member,COL,Colombia,Female,FEMALE,01-01-1992,1992,16.5,,16.5
65 years,Costa Rica,Other,CRI,Female,Life expectancy,OECD member,CRI,Costa Rica,Female,FEMALE,01-01-1992,1992,18.3,,18.3
65 years,Czechia,Europe,CZE,Female,Life expectancy,OECD member,CZE,Czechia,Female,FEMALE,01-01-1992,1992,16.0,,16.0
65 years,Germany,Europe,DEU,Female,Life expectancy,OECD member,DEU,Germany,Female,FEMALE,01-01-1992,1992,18.3,,18.3
65 years,Denmark,Europe,DNK,Female,Life expectancy,OECD member,DNK,Denmark,Female,FEMALE,01-01-1992,1992,17.9,,17.9
65 years,Spain,Europe,ESP,Female,Life expectancy,OECD member,ESP,Spain,Female,FEMALE,01-01-1992,1992,19.8,,19.8
65 years,Estonia,Europe,EST,Female,Life expectancy,OECD member,EST,Estonia,Female,FEMALE,01-01-1992,1992,16.0,,16.0
65 years,Finland,Europe,FIN,Female,Life expectancy,OECD member,FIN,Finland,Female,FEMALE,01-01-1992,1992,18.2,,18.2
65 years,France,Europe,FRA,Female,Life expectancy,OECD member,FRA,France,Female,FEMALE,01-01-1992,1992,20.7,,20.7
65 years,Greece,Europe,GRC,Female,Life expectancy,OECD member,GRC,Greece,Female,FEMALE,01-01-1992,1992,18.1,,18.1
65 years,Hungary,Europe,HUN,Female,Life expectancy,OECD member,HUN,Hungary,Female,FEMALE,01-01-1992,1992,15.6,,15.6
65 years,Ireland,Europe,IRL,Female,Life expectancy,OECD member,IRL,Ireland,Female,FEMALE,01-01-1992,1992,17.3,,17.3
65 years,Iceland,Europe,ISL,Female,Life expectancy,OECD member,ISL,Iceland,Female,FEMALE,01-01-1992,1992,19.2,,19.2
65 years,Israel,Europe,ISR,Female,Life expectancy,OECD member,ISR,Israel,Female,FEMALE,01-01-1992,1992,17.5,,17.5
65 years,Italy,Europe,ITA,Female,Life expectancy,OECD member,ITA,Italy,Female,FEMALE,01-01-1992,1992,19.4,,19.4
65 years,Japan,Other,JPN,Female,Life expectancy,OECD member,JPN,Japan,Female,FEMALE,01-01-1992,1992,20.3,,20.3
65 years,Korea,Other,KOR,Female,Life expectancy,OECD member,KOR,Korea,Female,FEMALE,01-01-1992,1992,17.1,,17.1
65 years,Lithuania,Europe,LTU,Female,Life expectancy,OECD member,LTU,Lithuania,Female,FEMALE,01-01-1992,1992,17.3,,17.3
65 years,Luxembourg,Europe,LUX,Female,Life expectancy,OECD member,LUX,Luxembourg,Female,FEMALE,01-01-1992,1992,18.3,,18.3
65 years,Mexico,Other,MEX,Female,Life expectancy,OECD member,MEX,Mexico,Female,FEMALE,01-01-1992,1992,17.9,,17.9
65 years,Netherlands,Europe,NLD,Female,Life expectancy,OECD member,NLD,Netherlands,Female,FEMALE,01-01-1992,1992,19.3,,19.3
65 years,Norway,Europe,NOR,Female,Life expectancy,OECD member,NOR,Norway,Female,FEMALE,01-01-1992,1992,19.2,,19.2
65 years,New Zealand,Other,NZL,Female,Life expectancy,OECD member,NZL,New Zealand,Female,FEMALE,01-01-1992,1992,18.6,,18.6
65 years,Poland,Europe,POL,Female,Life expectancy,OECD member,POL,Poland,Female,FEMALE,01-01-1992,1992,16.3,,16.3
65 years,Portugal,Europe,PRT,Female,Life expectancy,OECD member,PRT,Portugal,Female,FEMALE,01-01-1992,1992,17.8,,17.8
65 years,Slovak Republic,Europe,SVK,Female,Life expectancy,OECD member,SVK,Slovak Republic,Female,FEMALE,01-01-1992,1992,16.1,,16.1
65 years,Slovenia,Europe,SVN,Female,Life expectancy,OECD member,SVN,Slovenia,Female,FEMALE,01-01-1992,1992,17.2,,17.2
65 years,Sweden,Europe,SWE,Female,Life expectancy,OECD member,SWE,Sweden,Female,FEMALE,01-01-1992,1992,19.5,,19.5
65 years,Türkiye,Europe,TUR,Female,Life expectancy,OECD member,TUR,Türkiye,Female,FEMALE,01-01-1992,1992,14.4,,14.4
65 years,United States,Other,USA,Female,Life expectancy,OECD member,USA,United States,Female,FEMALE,01-01-1992,1992,19.2,,19.2
65 years,Australia,Other,AUS,Female,Life expectancy,OECD member,AUS,Australia,Female,FEMALE,01-01-1993,1993,19.5,,19.5
65 years,Austria,Europe,AUT,Female,Life expectancy,OECD member,AUT,Austria,Female,FEMALE,01-01-1993,1993,18.4,,18.4
65 years,Belgium,Europe,BEL,Female,Life expectancy,OECD member,BEL,Belgium,Female,FEMALE,01-01-1993,1993,18.9,,18.9
65 years,Canada,Other,CAN,Female,Life expectancy,OECD member,CAN,Canada,Female,FEMALE,01-01-1993,1993,19.8,,19.8
65 years,Switzerland,Europe,CHE,Female,Life expectancy,OECD member,CHE,Switzerland,Female,FEMALE,01-01-1993,1993,20.3,,20.3
65 years,Chile,Other,CHL,Female,Life expectancy,OECD member,CHL,Chile,Female,FEMALE,01-01-1993,1993,17.7,,17.7
65 years,Colombia,Other,COL,Female,Life expectancy,OECD member,COL,Colombia,Female,FEMALE,01-01-1993,1993,16.6,,16.6
65 years,Costa Rica,Other,CRI,Female,Life expectancy,OECD member,CRI,Costa Rica,Female,FEMALE,01-01-1993,1993,18.3,,18.3
65 years,Czechia,Europe,CZE,Female,Life expectancy,OECD member,CZE,Czechia,Female,FEMALE,01-01-1993,1993,16.0,,16.0
65 years,Germany,Europe,DEU,Female,Life expectancy,OECD member,DEU,Germany,Female,FEMALE,01-01-1993,1993,18.3,,18.3
65 years,Denmark,Europe,DNK,Female,Life expectancy,OECD member,DNK,Denmark,Female,FEMALE,01-01-1993,1993,17.6,,17.6
65 years,Spain,Europe,ESP,Female,Life expectancy,OECD member,ESP,Spain,Female,FEMALE,01-01-1993,1993,19.8,,19.8
65 years,Estonia,Europe,EST,Female,Life expectancy,OECD member,EST,Estonia,Female,FEMALE,01-01-1993,1993,15.7,,15.7
65 years,Finland,Europe,FIN,Female,Life expectancy,OECD member,FIN,Finland,Female,FEMALE,01-01-1993,1993,18.0,,18.0
65 years,France,Europe,FRA,Female,Life expectancy,OECD member,FRA,France,Female,FEMALE,01-01-1993,1993,20.6,,20.6
65 years,Greece,Europe,GRC,Female,Life expectancy,OECD member,GRC,Greece,Female,FEMALE,01-01-1993,1993,18.4,,18.4
65 years,Hungary,Europe,HUN,Female,Life expectancy,OECD member,HUN,Hungary,Female,FEMALE,01-01-1993,1993,15.7,,15.7
65 years,Ireland,Europe,IRL,Female,Life expectancy,OECD member,IRL,Ireland,Female,FEMALE,01-01-1993,1993,17.0,,17.0
65 years,Iceland,Europe,ISL,Female,Life expectancy,OECD member,ISL,Iceland,Female,FEMALE,01-01-1993,1993,19.1,,19.1
65 years,Israel,Europe,ISR,Female,Life expectancy,OECD member,ISR,Israel,Female,FEMALE,01-01-1993,1993,17.9,,17.9
65 years,Italy,Europe,ITA,Female,Life expectancy,OECD member,ITA,Italy,Female,FEMALE,01-01-1993,1993,19.5,,19.5
65 years,Japan,Other,JPN,Female,Life expectancy,OECD member,JPN,Japan,Female,FEMALE,01-01-1993,1993,20.6,,20.6
65 years,Korea,Other,KOR,Female,Life expectancy,OECD member,KOR,Korea,Female,FEMALE,01-01-1993,1993,17.3,,17.3
65 years,Lithuania,Europe,LTU,Female,Life expectancy,OECD member,LTU,Lithuania,Female,FEMALE,01-01-1993,1993,16.6,,16.6
65 years,Luxembourg,Europe,LUX,Female,Life expectancy,OECD member,LUX,Luxembourg,Female,FEMALE,01-01-1993,1993,18.7,,18.7
65 years,Mexico,Other,MEX,Female,Life expectancy,OECD member,MEX,Mexico,Female,FEMALE,01-01-1993,1993,17.7,,17.7
65 years,Netherlands,Europe,NLD,Female,Life expectancy,OECD member,NLD,Netherlands,Female,FEMALE,01-01-1993,1993,18.9,,18.9
65 years,Norway,Europe,NOR,Female,Life expectancy,OECD member,NOR,Norway,Female,FEMALE,01-01-1993,1993,18.8,,18.8
65 years,New Zealand,Other,NZL,Female,Life expectancy,OECD member,NZL,New Zealand,Female,FEMALE,01-01-1993,1993,18.7,,18.7
65 years,Poland,Europe,POL,Female,Life expectancy,OECD member,POL,Poland,Female,FEMALE,01-01-1993,1993,16.2,,16.2
65 years,Portugal,Europe,PRT,Female,Life expectancy,OECD member,PRT,Portugal,Female,FEMALE,01-01-1993,1993,17.5,,17.5
65 years,Slovak Republic,Europe,SVK,Female,Life expectancy,OECD member,SVK,Slovak Republic,Female,FEMALE,01-01-1993,1993,16.2,,16.2
65 years,Slovenia,Europe,SVN,Female,Life expectancy,OECD member,SVN,Slovenia,Female,FEMALE,01-01-1993,1993,17.1,,17.1
65 years,Sweden,Europe,SWE,Female,Life expectancy,OECD member,SWE,Sweden,Female,FEMALE,01-01-1993,1993,19.3,,19.3
65 years,Türkiye,Europe,TUR,Female,Life expectancy,OECD member,TUR,Türkiye,Female,FEMALE,01-01-1993,1993,14.5,,14.5
65 years,United States,Other,USA,Female,Life expectancy,OECD member,USA,United States,Female,FEMALE,01-01-1993,1993,18.9,,18.9
65 years,Australia,Other,AUS,Female,Life expectancy,OECD member,AUS,Australia,Female,FEMALE,01-01-1994,1994,19.4,,19.4
65 years,Austria,Europe,AUT,Female,Life expectancy,OECD member,AUT,Austria,Female,FEMALE,01-01-1994,1994,18.7,,18.7
65 years,Belgium,Europe,BEL,Female,Life expectancy,OECD member,BEL,Belgium,Female,FEMALE,01-01-1994,1994,19.3,,19.3
65 years,Canada,Other,CAN,Female,Life expectancy,OECD member,CAN,Canada,Female,FEMALE,01-01-1994,1994,19.8,,19.8
65 years,Switzerland,Europe,CHE,Female,Life expectancy,OECD member,CHE,Switzerland,Female,FEMALE,01-01-1994,1994,20.6,,20.6
65 years,Chile,Other,CHL,Female,Life expectancy,OECD member,CHL,Chile,Female,FEMALE,01-01-1994,1994,17.9,,17.9
65 years,Colombia,Other,COL,Female,Life expectancy,OECD member,COL,Colombia,Female,FEMALE,01-01-1994,1994,16.7,,16.7
65 years,Costa Rica,Other,CRI,Female,Life expectancy,OECD member,CRI,Costa Rica,Female,FEMALE,01-01-1994,1994,18.4,,18.4
65 years,Czechia,Europe,CZE,Female,Life expectancy,OECD member,CZE,Czechia,Female,FEMALE,01-01-1994,1994,16.1,,16.1
65 years,Germany,Europe,DEU,Female,Life expectancy,OECD member,DEU,Germany,Female,FEMALE,01-01-1994,1994,18.6,,18.6
65 years,Denmark,Europe,DNK,Female,Life expectancy,OECD member,DNK,Denmark,Female,FEMALE,01-01-1994,1994,17.9,,17.9
65 years,Spain,Europe,ESP,Female,Life expectancy,OECD member,ESP,Spain,Female,FEMALE,01-01-1994,1994,20.1,,20.1
65 years,Estonia,Europe,EST,Female,Life expectancy,OECD member,EST,Estonia,Female,FEMALE,01-01-1994,1994,15.7,,15.7
65 years,Finland,Europe,FIN,Female,Life expectancy,OECD member,FIN,Finland,Female,FEMALE,01-01-1994,1994,18.7,,18.7
65 years,France,Europe,FRA,Female,Life expectancy,OECD member,FRA,France,Female,FEMALE,01-01-1994,1994,21.0,,21.0
65 years,Greece,Europe,GRC,Female,Life expectancy,OECD member,GRC,Greece,Female,FEMALE,01-01-1994,1994,18.6,,18.6
65 years,Hungary,Europe,HUN,Female,Life expectancy,OECD member,HUN,Hungary,Female,FEMALE,01-01-1994,1994,15.9,,15.9
65 years,Ireland,Europe,IRL,Female,Life expectancy,OECD member,IRL,Ireland,Female,FEMALE,01-01-1994,1994,17.4,,17.4
65 years,Iceland,Europe,ISL,Female,Life expectancy,OECD member,ISL,Iceland,Female,FEMALE,01-01-1994,1994,20.0,,20.0
65 years,Israel,Europe,ISR,Female,Life expectancy,OECD member,ISR,Israel,Female,FEMALE,01-01-1994,1994,18.1,,18.1
65 years,Italy,Europe,ITA,Female,Life expectancy,OECD member,ITA,Italy,Female,FEMALE,01-01-1994,1994,19.6,,19.6
65 years,Japan,Other,JPN,Female,Life expectancy,OECD member,JPN,Japan,Female,FEMALE,01-01-1994,1994,21.0,,21.0
65 years,Korea,Other,KOR,Female,Life expectancy,OECD member,KOR,Korea,Female,FEMALE,01-01-1994,1994,17.5,,17.5
65 years,Lithuania,Europe,LTU,Female,Life expectancy,OECD member,LTU,Lithuania,Female,FEMALE,01-01-1994,1994,16.8,,16.8
65 years,Luxembourg,Europe,LUX,Female,Life expectancy,OECD member,LUX,Luxembourg,Female,FEMALE,01-01-1994,1994,19.0,,19.0
65 years,Mexico,Other,MEX,Female,Life expectancy,OECD member,MEX,Mexico,Female,FEMALE,01-01-1994,1994,17.8,,17.8
65 years,Netherlands,Europe,NLD,Female,Life expectancy,OECD member,NLD,Netherlands,Female,FEMALE,01-01-1994,1994,19.2,,19.2
65 years,Norway,Europe,NOR,Female,Life expectancy,OECD member,NOR,Norway,Female,FEMALE,01-01-1994,1994,19.4,,19.4
65 years,New Zealand,Other,NZL,Female,Life expectancy,OECD member,NZL,New Zealand,Female,FEMALE,01-01-1994,1994,18.8,,18.8
65 years,Poland,Europe,POL,Female,Life expectancy,OECD member,POL,Poland,Female,FEMALE,01-01-1994,1994,16.4,,16.4
65 years,Portugal,Europe,PRT,Female,Life expectancy,OECD member,PRT,Portugal,Female,FEMALE,01-01-1994,1994,18.2,,18.2
65 years,Slovak Republic,Europe,SVK,Female,Life expectancy,OECD member,SVK,Slovak Republic,Female,FEMALE,01-01-1994,1994,16.4,,16.4
65 years,Slovenia,Europe,SVN,Female,Life expectancy,OECD member,SVN,Slovenia,Female,FEMALE,01-01-1994,1994,17.3,,17.3
65 years,Sweden,Europe,SWE,Female,Life expectancy,OECD member,SWE,Sweden,Female,FEMALE,01-01-1994,1994,20.0,,20.0
65 years,Türkiye,Europe,TUR,Female,Life expectancy,OECD member,TUR,Türkiye,Female,FEMALE,01-01-1994,1994,14.6,,14.6
65 years,United States,Other,USA,Female,Life expectancy,OECD member,USA,United States,Female,FEMALE,01-01-1994,1994,19.0,,19.0
65 years,Australia,Other,AUS,Female,Life expectancy,OECD member,AUS,Australia,Female,FEMALE,01-01-1995,1995,19.5,,19.5
65 years,Austria,Europe,AUT,Female,Life expectancy,OECD member,AUT,Austria,Female,FEMALE,01-01-1995,1995,18.8,,18.8
65 years,Belgium,Europe,BEL,Female,Life expectancy,OECD member,BEL,Belgium,Female,FEMALE,01-01-1995,1995,19.3,,19.3
65 years,Canada,Other,CAN,Female,Life expectancy,OECD member,CAN,Canada,Female,FEMALE,01-01-1995,1995,19.9,,19.9
65 years,Switzerland,Europe,CHE,Female,Life expectancy,OECD member,CHE,Switzerland,Female,FEMALE,01-01-1995,1995,20.4,,20.4
65 years,Chile,Other,CHL,Female,Life expectancy,OECD member,CHL,Chile,Female,FEMALE,01-01-1995,1995,18.1,,18.1
65 years,Colombia,Other,COL,Female,Life expectancy,OECD member,COL,Colombia,Female,FEMALE,01-01-1995,1995,16.9,,16.9
65 years,Costa Rica,Other,CRI,Female,Life expectancy,OECD member,CRI,Costa Rica,Female,FEMALE,01-01-1995,1995,19.1,,19.1
65 years,Czechia,Europe,CZE,Female,Life expectancy,OECD member,CZE,Czechia,Female,FEMALE,01-01-1995,1995,16.2,,16.2
65 years,Germany,Europe,DEU,Female,Life expectancy,OECD member,DEU,Germany,Female,FEMALE,01-01-1995,1995,18.7,,18.7
65 years,Denmark,Europe,DNK,Female,Life expectancy,OECD member,DNK,Denmark,Female,FEMALE,01-01-1995,1995,17.6,,17.6
65 years,Spain,Europe,ESP,Female,Life expectancy,OECD member,ESP,Spain,Female,FEMALE,01-01-1995,1995,20.1,,20.1
65 years,Estonia,Europe,EST,Female,Life expectancy,OECD member,EST,Estonia,Female,FEMALE,01-01-1995,1995,16.1,,16.1
65 years,Finland,Europe,FIN,Female,Life expectancy,OECD member,FIN,Finland,Female,FEMALE,01-01-1995,1995,18.7,,18.7
65 years,France,Europe,FRA,Female,Life expectancy,OECD member,FRA,France,Female,FEMALE,01-01-1995,1995,20.9,,20.9
65 years,Greece,Europe,GRC,Female,Life expectancy,OECD member,GRC,Greece,Female,FEMALE,01-01-1995,1995,18.6,,18.6
65 years,Hungary,Europe,HUN,Female,Life expectancy,OECD member,HUN,Hungary,Female,FEMALE,01-01-1995,1995,16.0,,16.0
